,title,release_date,production_budget,domestic_gross,worldwide_gross,genre,story_source,creative_type,production_method,production_company,MPAA_Rating,runtime,opening_theater_count,max_theater_count,avg_run_per_theater,actors,directors
264,Night at the Museum: Secret of the Tomb,"Dec 18, 2014","$127,000,000","$113,746,621","$353,756,621",Adventure,Original Screenplay,Fantasy,Animation/Live Action,21 Laps Entertainment,PG,97 minutes,"3,785","3,785",5.7 weeks,Ben Stiller | Robin Williams | Owen Wilson | Dan Stevens | Ben Kingsley | Steve Coogan | Ricky Gervais | Rebel Wilson | Skyler Gisondo | Rami Malek | Patrick Gallagher | Mizuo Peck,Shawn Levy
265,Harry Potter and the Deathly Hallows: Part II,"Jul 13, 2011","$125,000,000","$381,193,157","$1,341,693,157",Adventure,Based on Fiction Book/Short Story,Fantasy,Animation/Live Action,Warner Bros.,PG-13,131 minutes,"4,375","4,375",6.0 weeks,Ralph Fiennes | Daniel Radcliffe | Rupert Grint | Emma Watson,David Yates
266,The Hunger Games: Mockingjay - Part 1,"Nov 19, 2014","$125,000,000","$337,135,885","$766,575,131",Thriller/Suspense,Based on Fiction Book/Short Story,Science Fiction,Live Action,Lionsgate,PG-13,123 minutes,"4,151","4,151",7.3 weeks,Jennifer Lawrence,Francis Lawrence
267,Harry Potter and the Sorcererâs Stone,"Nov 15, 2001","$125,000,000","$317,871,467","$975,047,606",Adventure,Based on Fiction Book/Short Story,Fantasy,Animation/Live Action,Heyday Films,PG,152 minutes,"3,672","3,672",9.8 weeks,Daniel Radcliffe | Rupert Grint | Emma Watson | Robbie Coltrane | Richard Harris | Alan Rickman | Maggie Smith,Chris Columbus
268,Harry Potter and the Deathly Hallows: Part I,"Nov 18, 2010","$125,000,000","$296,131,568","$960,431,568",Adventure,Based on Fiction Book/Short Story,Fantasy,Animation/Live Action,Heyday Films,PG-13,146 minutes,"4,125","4,125",6.8 weeks,Emma Watson | Daniel Radcliffe | Rupert Grint | Ralph Fiennes,David Yates
269,The Da Vinci Code,"May 19, 2006","$125,000,000","$217,536,138","$767,820,459",Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Columbia Pictures,PG-13,152 minutes,"3,735","3,735",6.2 weeks,Tom Hanks | Audrey Tautou,Ron Howard
270,X-Men 2,"May 2, 2003","$125,000,000","$214,949,694","$406,875,536",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,20th Century Fox,PG-13,135 minutes,"3,741","3,741",6.6 weeks,Patrick Stewart | Hugh Jackman | Ian McKellen,Bryan Singer
271,Fast Five,"Apr 29, 2011","$125,000,000","$210,031,325","$630,163,454",Action,Based on Factual Book/Article,Contemporary Fiction,Live Action,Universal Pictures,PG-13,130 minutes,"3,644","3,644",6.2 weeks,Vin Diesel | Paul Walker | Dwayne Johnson,Justin Lin
272,Teenage Mutant Ninja Turtles,"Aug 8, 2014","$125,000,000","$191,204,754","$485,004,754",Adventure,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Animation/Live Action,Platinum Dunes,PG-13,101 minutes,"3,845","3,845",7.0 weeks,Pete Ploszek | Alan Ritchson | Jeremy Howard | Noel Fisher | Tohoru Masamune,Jonathan Liebesman
273,Sherlock Holmes: A Game of Shadows,"Dec 16, 2011","$125,000,000","$186,848,418","$535,663,443",Action,Based on Fiction Book/Short Story,Historical Fiction,Live Action,Warner Bros.,PG-13,129 minutes,"3,703","3,703",6.6 weeks,"Robert Downey, Jr. | Jude Law | Noomi Rapace | Rachel McAdams | Jared Harris",Guy Ritchie
274,The Day After Tomorrow,"May 28, 2004","$125,000,000","$186,740,799","$556,319,450",Adventure,Based on Fiction Book/Short Story,Science Fiction,Live Action,Centropolis Entertainment,PG-13,123 minutes,"3,425","3,425",5.8 weeks,,
275,The Boss Baby,"Mar 17, 2017","$125,000,000","$175,003,033","$510,878,762",Adventure,Based on Fiction Book/Short Story,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,DreamWorks Animation,PG,97 minutes,"3,773","3,773",8.2 weeks,Alec Baldwin,Tom McGrath | Kent Seki
276,Clash of the Titans,"Apr 1, 2010","$125,000,000","$163,214,888","$493,214,888",Action,All Time Domestic Box Office for Remake Movies,Fantasy,Live Action,Legendary Pictures,PG-13,106 minutes,"3,777","3,777",6.0 weeks,Sam Worthington,Louis Leterrier
277,Trolls,"Oct 12, 2016","$125,000,000","$153,707,064","$344,150,134",Adventure,Based on Toy,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,DreamWorks Animation,PG,93 minutes,"4,060","4,060",6.4 weeks,Anna Kendrick | Justin Timberlake | Gwen Stefani | James Corden | Russell Brand,Mike Mitchell
278,Godzilla,"May 19, 1998","$125,000,000","$136,314,294","$376,000,000",Action,All Time Domestic Box Office for Remake Movies,Science Fiction,Live Action,Centropolis Entertainment,PG-13,139 minutes,"3,310","3,310",6.5 weeks,,
279,Prometheus,"May 30, 2012","$125,000,000","$126,477,084","$402,448,265",Adventure,Original Screenplay,Science Fiction,Live Action,20th Century Fox,All Time Domestic Box Office for R Movies,124 minutes,"3,396","3,396",4.2 weeks,Noomi Rapace,Ridley Scott
280,The Bourne Legacy,"Aug 10, 2012","$125,000,000","$113,203,870","$280,355,920",Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Universal Pictures,PG-13,135 minutes,"3,745","3,745",6.1 weeks,Jeremy Renner,Tony Gilroy
281,Batman & Robin,"Jun 20, 1997","$125,000,000","$107,325,195","$238,317,814",Action,Original Screenplay,All Time Domestic Box Office for Super Hero Movies,Live Action,,PG-13,125 minutes,"2,934","2,934",6.2 weeks,George Clooney,Joel Schumacher
282,Skyscraper,"Jul 5, 2018","$125,000,000","$68,420,120","$304,115,534",Action,Original Screenplay,Contemporary Fiction,Live Action,Legendary Pictures,PG,103 minutes,"3,782","3,782",3.6 weeks,Dwayne Johnson,Rawson Marshall Thurber
283,Total Recall,"Aug 3, 2012","$125,000,000","$58,877,969","$211,856,088",Action,Based on Fiction Book/Short Story,Science Fiction,Live Action,Sony Pictures,PG-13,117 minutes,"3,601","3,601",3.7 weeks,Colin Farrell | Kate Beckinsale | Jessica Biel | Bokeem Woodbine,Len Wiseman
284,Assassinâs Creed,"Dec 21, 2016","$125,000,000","$54,647,948","$240,759,682",Action,Based on Game,Science Fiction,Live Action,Regency Enterprises,PG-13,116 minutes,"2,970","2,970",3.5 weeks,Michael Fassbender,Justin Kurzel
285,Monster Trucks,"Dec 29, 2016","$125,000,000","$33,370,166","$61,642,798",Adventure,Original Screenplay,Science Fiction,Animation/Live Action,Paramount Pictures,PG-13,104 minutes,"3,119","3,119",3.9 weeks,Lucas Till | Danny Glover | Jane Levy | Rob Lowe | Frank Whaley,Chris Wedge
286,The 13th Warrior,"Aug 27, 1999","$125,000,000","$32,698,899","$61,698,899",Action,Based on Fiction Book/Short Story,Fantasy,Live Action,Touchstone Pictures,All Time Domestic Box Office for R Movies (Rank 801-900),103 minutes,"2,306","2,306",5.2 weeks,,
287,How the Grinch Stole Christmas,"Nov 17, 2000","$123,000,000","$260,044,825","$345,141,403",Adventure,Based on Fiction Book/Short Story,Kids Fiction,Live Action,Universal Pictures,PG,105 minutes,"3,127","3,127",8.5 weeks,Jim Carrey,Ron Howard
288,Mission: Impossible 2,"May 24, 2000","$120,000,000","$215,409,889","$549,588,516",Action,Based on TV,Contemporary Fiction,Live Action,Cruise-Wagner,PG-13,126 minutes,"3,653","3,653",8.0 weeks,Tom Cruise,John Woo
289,The Perfect Storm,"Jun 30, 2000","$120,000,000","$182,618,434","$328,711,434",Drama,Based on Factual Book/Article,Dramatization,Live Action,Baltimore Spring Creek Pictures,PG-13,129 minutes,"3,407","3,407",8.7 weeks,,
290,Jason Bourne,"Jul 20, 2016","$120,000,000","$162,192,920","$416,168,316",Action,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Universal Pictures,PG-13,123 minutes,"4,026","4,026",5.6 weeks,Matt Damon | Alicia Vikander,Paul Greengrass
291,Fantastic Four: Rise of the Silver Surfer,"Jun 15, 2007","$120,000,000","$131,921,738","$289,480,691",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,20th Century Fox,PG,91 minutes,"3,959","3,959",4.5 weeks,Ioan Gruffudd | Jessica Alba | Chris Evans | Michael Chiklis,Tim Story
292,Life of Pi,"Nov 21, 2012","$120,000,000","$124,987,022","$620,912,003",Drama,Based on Fiction Book/Short Story,Fantasy,Live Action,Fox 2000 Pictures,PG,125 minutes,"2,927","2,927",8.6 weeks,Suraj Sharma,Ang Lee
293,Ghost Rider,"Feb 16, 2007","$120,000,000","$115,802,596","$229,545,589",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,Relativity Media,PG-13,110 minutes,"3,619","3,619",5.7 weeks,,
294,Rampage,"Apr 9, 2018","$120,000,000","$101,028,233","$428,056,280",Action,Based on Game,Science Fiction,Live Action,New Line Cinema,PG-13,107 minutes,"4,101","4,101",5.2 weeks,Dwayne Johnson | Naomie Harris,Brad Peyton
295,Charlie's Angels: Full Throttle,"Jun 27, 2003","$120,000,000","$100,814,328","$227,200,000",Action,Based on TV,Contemporary Fiction,Live Action,Columbia Pictures,PG-13,106 minutes,"3,459","3,459",4.9 weeks,Cameron Diaz | Drew Barrymore | Lucy Liu*,McG*
296,Elysium,"Aug 9, 2013","$120,000,000","$93,050,117","$286,192,091",Action,Original Screenplay,Science Fiction,Live Action,Tri-Star Pictures,All Time Domestic Box Office for R Movies (Rank 101-200),109 minutes,"3,284","3,284",5.8 weeks,Matt Damon,Neill Blomkamp
297,Oblivion,"Apr 19, 2013","$120,000,000","$89,107,235","$287,916,633",Thriller/Suspense,Based on Comic/Graphic Novel,Science Fiction,Live Action,Universal Pictures,PG-13,125 minutes,"3,783","3,783",4.6 weeks,Tom Cruise | Morgan Freeman,Joseph Kosinski
298,Power Rangers,"Mar 24, 2017","$120,000,000","$85,364,450","$142,531,552",Action,Based on TV,Kids Fiction,Animation/Live Action,Lionsgate,PG-13,124 minutes,"3,693","3,693",4.3 weeks,Dacre Montgomery | Naomi Scott | RJ Cyler | Becky G | Ludi Lin,Dean Israelite
299,Stuart Little 2,"Jul 19, 2002","$120,000,000","$64,956,806","$166,000,000",Adventure,Based on Fiction Book/Short Story,Kids Fiction,Live Action,,PG,77 minutes,"3,255","3,255",6.0 weeks,,
300,RoboCop,"Feb 12, 2014","$120,000,000","$58,607,007","$242,981,799",Action,All Time Domestic Box Office for Remake Movies,Science Fiction,Live Action,Strike Entertainment,PG-13,116 minutes,"3,372","3,372",4.1 weeks,Joel Kinnaman,Jose Padilha
301,The Chronicles of Riddick,"Jun 11, 2004","$120,000,000","$57,712,751","$107,212,751",Adventure,Original Screenplay,Science Fiction,Live Action,,PG-13,,"2,757","2,757",4.0 weeks,,
302,The Fantastic Four,"Aug 5, 2015","$120,000,000","$56,117,548","$167,849,187",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,MARV Films,PG-13,100 minutes,"3,995","3,995",3.7 weeks,Miles Teller | Michael B. Jordan | Kate Mara | Jamie Bell,Josh Trank
303,Speed Racer,"May 9, 2008","$120,000,000","$43,945,766","$93,394,462",Action,Based on TV,Science Fiction,Live Action,Warner Bros.,PG,135 minutes,"3,606","3,606",4.1 weeks,,
304,The Island,"Jul 22, 2005","$120,000,000","$35,818,913","$163,018,913",Action,Original Screenplay,Science Fiction,Live Action,Parkes+Macdonald Productions,PG-13,136 minutes,"3,122","3,122",3.3 weeks,,
305,How Do You Know?,"Dec 17, 2010","$120,000,000","$30,212,620","$49,628,177",Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,Gracie Films,All Time Domestic Box Office for R Movies (Rank 801-900),121 minutes,"2,483","2,483",4.1 weeks,Reese Witherspoon | Paul Rudd | Owen Wilson | Jack Nicholson,James L. Brooks
306,Knight and Day,"Jun 23, 2010","$117,000,000","$76,423,035","$258,751,370",Action,Original Screenplay,Contemporary Fiction,Live Action,20th Century Fox,PG-13,109 minutes,"3,098","3,098",4.6 weeks,Tom Cruise | Cameron Diaz,James Mangold
307,Venom,"Oct 2, 2018","$116,000,000","$213,511,408","$853,628,605",Action,Spin-Off,All Time Domestic Box Office for Super Hero Movies,Animation/Live Action,Columbia Pictures,PG-13,112 minutes,"4,250","4,250",5.8 weeks,Tom Hardy | Michelle Williams | Riz Ahmed,Ruben Fleischer
308,Star Wars Ep. I: The Phantom Menace,"May 19, 1999","$115,000,000","$474,544,677","$1,027,044,677",Adventure,Original Screenplay,Science Fiction,Animation/Live Action,Lucasfilm,PG,133 minutes,"2,970","2,970",15.1 weeks,Liam Neeson | Ewan McGregor | Natalie Portman | Jake Lloyd,George Lucas
309,Star Wars Ep. III: Revenge of the Sith,"May 19, 2005","$115,000,000","$380,270,577","$848,998,877",Adventure,Original Screenplay,Science Fiction,Animation/Live Action,Lucasfilm,PG-13,139 minutes,"3,661","3,661",7.3 weeks,Ewan McGregor | Natalie Portman | Hayden Christensen,George Lucas
310,Star Wars Ep. II: Attack of the Clones,"May 16, 2002","$115,000,000","$310,676,740","$656,695,615",Adventure,Original Screenplay,Science Fiction,Animation/Live Action,Lucasfilm,PG,143 minutes,"3,161","3,161",7.9 weeks,Ewan McGregor | Natalie Portman | Hayden Christensen,George Lucas
311,"Monsters, Inc.","Nov 2, 2001","$115,000,000","$289,423,425","$559,757,719",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Walt Disney Pictures,G,92 minutes,"3,237","3,237",12.4 weeks,John Goodman | Billy Crystal,Pete Docter | David Silverman
312,The Wolverine,"Jul 26, 2013","$115,000,000","$132,556,852","$416,456,852",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Live Action,20th Century Fox,PG-13,126 minutes,"3,924","3,924",4.7 weeks,Hugh Jackman,James Mangold
313,Dante's Peak,"Feb 7, 1997","$115,000,000","$67,163,857","$178,200,000",Drama,Original Screenplay,Contemporary Fiction,Live Action,,PG-13,,"2,657","2,657",7.4 weeks,,
314,The Huntsman: Winterâs War,"Apr 6, 2016","$115,000,000","$48,003,015","$165,149,302",Action,Based on Folk Tale/Legend/Fairytale,Fantasy,Live Action,Universal Pictures,PG-13,113 minutes,"3,791","3,791",3.9 weeks,Chris Hemsworth | Charlize Theron | Emily Blunt | Jessica Chastain,Cedric Nicolas-Troyan
315,Windtalkers,"Jun 14, 2002","$115,000,000","$40,914,068","$77,628,265",Action,Original Screenplay,Historical Fiction,Live Action,Metro-Goldwyn-Mayer Pictures,All Time Domestic Box Office for R Movies (Rank 601-700),134 minutes,"2,898","2,898",4.6 weeks,,
316,AstÃ©rix aux Jeux Olympiques,"Jul 4, 2008","$113,500,000","$999,811","$132,999,811",Adventure,Based on Comic/Graphic Novel,Fantasy,Live Action,,Not Rated,,0,0,0,,
317,Gulliver's Travels,"Dec 24, 2010","$112,000,000","$42,779,261","$232,017,848",Adventure,Based on Fiction Book/Short Story,Fantasy,Animation/Live Action,Davis Entertainment,PG,87 minutes,"2,546","2,546",4.4 weeks,Jack Black,Rob Letterman
318,Ferdinand,"Dec 8, 2017","$111,000,000","$84,410,380","$289,838,913",Adventure,Based on Fiction Book/Short Story,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies,Blue Sky Studios,PG,107 minutes,"3,621","3,621",5.9 weeks,John Cena | Kate McKinnon | Gina Rodriguez | Daveed Diggs | Cindy Slattery | Katie Silverman,Carlos Saldanha
319,Deadpool 2,"May 11, 2018","$110,000,000","$324,591,735","$786,680,557",Action,Based on Comic/Graphic Novel,All Time Domestic Box Office for Super Hero Movies,Animation/Live Action,Marvel Studios,All Time Domestic Box Office for R Movies,119 minutes,"4,349","4,349",7.1 weeks,Ryan Reynolds | Josh Brolin | Morena Baccarin | T.J. Miller | Leslie Uggams | Brianna Hildebrand | Stefan Kapicic | Zazie Beetz | Karan Soni,David Leitch
320,Gravity,"Oct 3, 2013","$110,000,000","$274,092,705","$693,698,673",Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,Warner Bros.,PG-13,91 minutes,"3,575","3,575",9.2 weeks,Sandra Bullock | George Clooney,Alfonso CuarÃ³n
321,Night at the Museum,"Dec 22, 2006","$110,000,000","$250,863,268","$579,446,407",Adventure,Based on Fiction Book/Short Story,Kids Fiction,Live Action,20th Century Fox,PG,108 minutes,"3,685","3,685",9.5 weeks,Ben Stiller | Robin Williams | Mizuo Peck | Patrick Gallagher,Shawn Levy
322,Mr. and Mrs. Smith,"Jun 10, 2005","$110,000,000","$186,336,279","$486,124,090",Action,Original Screenplay,Contemporary Fiction,Live Action,Regency Enterprises,PG-13,120 minutes,"3,424","3,424",7.4 weeks,,
323,San Andreas,"May 27, 2015","$110,000,000","$155,190,832","$456,258,539",Adventure,Original Screenplay,Science Fiction,Live Action,FPS,PG-13,114 minutes,"3,777","3,777",5.8 weeks,Dwayne Johnson,Brad Peyton
324,The Smurfs,"Jul 29, 2011","$110,000,000","$142,614,158","$563,749,323",Adventure,Based on Comic/Graphic Novel,Kids Fiction,Animation/Live Action,Sony Pictures Animation,PG,103 minutes,"3,395","3,395",7.7 weeks,Katy Perry | Jonathan Winters,Raja Gosnell
325,Live Free or Die Hard,"Jun 27, 2007","$110,000,000","$134,529,403","$382,288,147",Action,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,20th Century Fox,PG-13,129 minutes,"3,408","3,408",5.6 weeks,Bruce Willis,Len Wiseman
326,The Divergent Series: Insurgent,"Mar 18, 2015","$110,000,000","$130,179,072","$295,075,882",Action,Based on Fiction Book/Short Story,Science Fiction,Live Action,Summit Entertainment,PG-13,118 minutes,"3,875","3,875",5.9 weeks,Shailene Woodley | Theo James,Robert Schwentke
327,Ocean's Twelve,"Dec 10, 2004","$110,000,000","$125,531,634","$362,989,076",Adventure,Original Screenplay,Contemporary Fiction,Live Action,Warner Bros.,PG-13,125 minutes,"3,290","3,290",6.6 weeks,,
328,Tomorrow Never Dies,"Dec 19, 1997","$110,000,000","$125,304,276","$339,504,276",Action,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,Eon Productions,PG-13,119 minutes,"2,807","2,807",9.1 weeks,,
329,The Patriot,"Jun 28, 2000","$110,000,000","$113,330,342","$215,300,000",Drama,Original Screenplay,Historical Fiction,Live Action,Columbia Pictures,All Time Domestic Box Office for R Movies (Rank 101-200),164 minutes,"3,061","3,061",6.8 weeks,,
330,300: Rise of an Empire,"Mar 7, 2014","$110,000,000","$106,580,051","$330,780,051",Action,Based on Comic/Graphic Novel,Historical Fiction,Animation/Live Action,Cruel and Unusual Films,All Time Domestic Box Office for R Movies (Rank 101-200),102 minutes,"3,470","3,470",4.6 weeks,,Noam Murro
331,The Aviator,"Dec 17, 2004","$110,000,000","$102,608,827","$208,370,892",Drama,Based on Real Life Events,Dramatization,Live Action,Forward Pass,PG-13,170 minutes,40,40,9.9 weeks,,
332,Passengers,"Dec 21, 2016","$110,000,000","$100,014,699","$302,239,672",Thriller/Suspense,Original Screenplay,Science Fiction,Live Action,Columbia Pictures,PG-13,116 minutes,"3,478","3,478",5.3 weeks,Jennifer Lawrence | Chris Pratt,Morten Tyldum
333,The Green Hornet,"Jan 14, 2011","$110,000,000","$98,780,042","$229,155,503",Action,Based on TV,All Time Domestic Box Office for Super Hero Movies,Live Action,Original Film,PG-13,118 minutes,"3,584","3,584",5.4 weeks,Seth Rogen | Jay Chou,Michel Gondry
334,Miss Peregrineâs Home for Peculiar Children,"Sep 21, 2016","$110,000,000","$87,242,834","$295,986,876",Adventure,Based on Fiction Book/Short Story,Fantasy,Animation/Live Action,Twentieth Century Fox,PG-13,126 minutes,"3,522","3,522",5.6 weeks,Eva Green | Asa Butterfield | Chris O'Dowd | Allison Janney | Rupert Everett | Terence Stamp | Ella Purnell | Judi Dench | Samuel L. Jackson,Tim Burton
335,Real Steel,"Oct 7, 2011","$110,000,000","$85,463,309","$263,880,341",Action,Based on Fiction Book/Short Story,Science Fiction,Live Action,DreamWorks Pictures,PG-13,126 minutes,"3,440","3,440",5.9 weeks,Hugh Jackman,Shawn Levy
336,Men in Black: International,"Jun 12, 2019","$110,000,000","$80,001,807","$252,994,560",Adventure,Based on Comic/Graphic Novel,Science Fiction,Animation/Live Action,Amblin Entertainment,PG-13,118 minutes,"4,224","4,224",4.3 weeks,Chris Hemsworth | Tessa Thompson | Liam Neeson,F. Gary Gray
337,The A-Team,"Jun 11, 2010","$110,000,000","$77,222,099","$177,241,171",Action,Based on TV,Contemporary Fiction,Live Action,20th Century Fox,PG-13,118 minutes,"3,535","3,535",4.4 weeks,Liam Neeson | Bradley Cooper | Quinton Jackson,Joe Carnahan
338,The Smurfs 2,"Jul 31, 2013","$110,000,000","$71,017,784","$348,547,523",Adventure,Based on Comic/Graphic Novel,Kids Fiction,Animation/Live Action,Columbia Pictures,PG,104 minutes,"3,866","3,866",4.4 weeks,Katy Perry | Christina Ricci | Jonathan Winters | J.B. Smoove,Raja Gosnell
339,The Divergent Series: Allegiant,"Mar 9, 2016","$110,000,000","$66,184,051","$172,022,517",Action,Based on Fiction Book/Short Story,Science Fiction,Live Action,Summit Entertainment,PG-13,120 minutes,"3,740","3,740",4.4 weeks,Shailene Woodley | Theo James,Robert Schwentke
340,The Taking of Pelham 123,"Jun 12, 2009","$110,000,000","$65,452,312","$152,364,370",Action,All Time Domestic Box Office for Remake Movies,Contemporary Fiction,Live Action,Columbia Pictures,All Time Domestic Box Office for R Movies (Rank 301-400),106 minutes,"3,074","3,074",4.6 weeks,,
341,Ender's Game,"Oct 25, 2013","$110,000,000","$61,737,191","$127,983,283",Adventure,Based on Fiction Book/Short Story,Science Fiction,Live Action,Summit Entertainment,PG-13,114 minutes,"3,407","3,407",4.3 weeks,Asa Butterfield | Harrison Ford | Hailee Steinfeld | Viola Davis | Abigail Breslin | Ben Kingsley,Gavin Hood
342,Home on the Range,"Apr 2, 2004","$110,000,000","$50,026,353","$76,482,461",Adventure,Original Screenplay,Kids Fiction,Hand Animation,,PG,76 minutes,"3,047","3,047",5.8 weeks,,
343,Speed 2: Cruise Control,"Jun 13, 1997","$110,000,000","$48,097,081","$150,468,000",Action,Original Screenplay,Contemporary Fiction,Live Action,,PG-13,,"2,615","2,615",5.2 weeks,,
344,Kingdom of Heaven,"May 6, 2005","$110,000,000","$47,398,413","$218,853,353",Adventure,Original Screenplay,Historical Fiction,Live Action,Twentieth Century Fox,All Time Domestic Box Office for R Movies (Rank 501-600),148 minutes,"3,216","3,216",3.8 weeks,,
345,Ghost in the Shell,"Mar 23, 2017","$110,000,000","$40,563,557","$167,910,690",Action,Based on Comic/Graphic Novel,Science Fiction,Live Action,DreamWorks Pictures,PG-13,100 minutes,"3,440","3,440",3.2 weeks,Scarlett Johansson,Rupert Sanders
346,Around the World in 80 Days,"Jun 16, 2004","$110,000,000","$24,004,159","$72,004,159",Adventure,All Time Domestic Box Office for Remake Movies (Rank 101-200),Historical Fiction,Live Action,Walden Media,PG,120 minutes,"2,801","2,801",3.0 weeks,,
347,The Lord of the Rings: The Fellowship of the Ring,"Dec 19, 2001","$109,000,000","$315,544,750","$887,210,985",Adventure,Based on Fiction Book/Short Story,Fantasy,Animation/Live Action,,PG-13,179 minutes,"3,359","3,359",11.6 weeks,Elijah Wood | Ian McKellen | Viggo Mortensen,Peter Jackson
348,The Cat in the Hat,"Nov 21, 2003","$109,000,000","$101,018,283","$133,818,283",Adventure,Based on Fiction Book/Short Story,Fantasy,Live Action,DreamWorks Pictures,PG,82 minutes,"3,464","3,464",5.6 weeks,,
349,Ali,"Dec 25, 2001","$109,000,000","$58,183,966","$87,683,966",Drama,Based on Real Life Events,Dramatization,Live Action,Initial Entertainment Group,All Time Domestic Box Office for R Movies (Rank 401-500),158 minutes,"2,446","2,446",4.0 weeks,Will Smith,Michael Mann
350,The Martian,"Sep 30, 2015","$108,000,000","$228,433,663","$655,271,443",Thriller/Suspense,Based on Fiction Book/Short Story,Science Fiction,Live Action,Scott Free Films,PG-13,130 minutes,"3,831","3,831",8.3 weeks,Matt Damon,Ridley Scott
351,Allied,"Nov 20, 2016","$106,000,000","$40,098,064","$119,266,661",Drama,Original Screenplay,Historical Fiction,Live Action,Paramount Pictures,All Time Domestic Box Office for R Movies (Rank 601-700),124 minutes,"3,160","3,160",3.7 weeks,Brad Pitt | Marion Cotillard,Robert Zemeckis
352,"I, Robot","Jul 16, 2004","$105,000,000","$144,801,023","$348,629,585",Action,Based on Fiction Book/Short Story,Science Fiction,Animation/Live Action,20th Century Fox,PG-13,115 minutes,"3,420","3,420",6.1 weeks,Will Smith | Bridget Moynahan,Alex Proyas
353,Stuart Little,"Dec 17, 1999","$105,000,000","$140,015,224","$298,815,224",Adventure,Based on Fiction Book/Short Story,Kids Fiction,Live Action,Douglas Wick,PG,92 minutes,"2,878","2,878",10.8 weeks,,
354,The Princess and the Frog,"Nov 25, 2009","$105,000,000","$104,400,899","$270,997,378",Adventure,Based on Fiction Book/Short Story,Kids Fiction,Hand Animation,Walt Disney Pictures,G,97 minutes,2,2,6.5 weeks,Anika Noni Rose | Bruno Campos,John Musker | Ron Clements
355,"10,000 B.C.","Mar 7, 2008","$105,000,000","$94,784,201","$269,065,678",Adventure,Original Screenplay,Historical Fiction,Live Action,Centropolis Entertainment,PG-13,109 minutes,"3,410","3,410",5.8 weeks,,
356,Ice Age: Collision Course,"Jul 1, 2016","$105,000,000","$64,063,008","$402,156,682",Adventure,Original Screenplay,Kids Fiction,All Time Domestic Box Office for Digital Animation Movies (Rank 101-200),20th Century Fox Animation,PG,100 minutes,"3,992","3,992",3.9 weeks,Ray Romano | John Leguizamo | Denis Leary | Queen Latifah | Jessie J* | Jesse Tyler Ferguson | Josh Peck | Simon Pegg | Seann William Scott,Mike Thurmeier
357,Town & Country,"Apr 27, 2001","$105,000,000","$6,712,451","$10,364,769",Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,,"All Time Domestic Box Office for R Movies (Rank 1,901-2,000)",,"2,222","2,222",2.7 weeks,,
358,Kingsman: The Golden Circle,"Sep 19, 2017","$104,000,000","$100,234,838","$408,803,696",Action,Based on Comic/Graphic Novel,Contemporary Fiction,Live Action,20th Century Fox,All Time Domestic Box Office for R Movies (Rank 101-200),141 minutes,"4,003","4,003",5.1 weeks,Colin Firth | Julianne Moore | Taron Egerton | Mark Strong | Channing Tatum,Matthew Vaughn
359,Gone in 60 Seconds,"Jun 9, 2000","$103,300,000","$101,643,008","$232,643,008",Action,All Time Domestic Box Office for Remake Movies,Contemporary Fiction,Live Action,Touchstone Pictures,PG-13,117 minutes,"3,006","3,006",7.2 weeks,,
360,Gladiator,"May 5, 2000","$103,000,000","$187,683,805","$457,683,805",Action,Original Screenplay,Historical Fiction,Live Action,DreamWorks Pictures,All Time Domestic Box Office for R Movies,154 minutes,"2,938","2,938",10.2 weeks,Russell Crowe,Ridley Scott
361,The Hangover 3,"May 23, 2013","$103,000,000","$112,200,072","$362,000,072",All Time Domestic Box Office for Comedy Movies,Original Screenplay,Contemporary Fiction,Live Action,Warner Bros.,All Time Domestic Box Office for R Movies (Rank 101-200),100 minutes,"3,555","3,555",4.4 weeks,Bradley Cooper | Ed Helms | Zach Galifianakis | Justin Bartha | Ken Jeong | John Goodman | Heather Graham,Todd Phillips
362,A Wrinkle in Time,"Mar 9, 2018","$103,000,000","$100,478,608","$133,401,882",Adventure,Based on Fiction Book/Short Story,Fantasy,Live Action,Walt Disney Pictures,PG,120 minutes,"3,980","3,980",5.3 weeks,Oprah Winfrey | Reese Witherspoon | Storm Reid | Chris Pine | Gugu Mbatha-Raw | Levi Miller | Deric McCabe,Ava Duvernay
